driver_name,nationality,year,grid,position,points,laps,milliseconds,fastestLapSpeed,statusId,finished,podium
Michael Schumacher,German,2010,10.0,9.0,2.0,52,5119799.0,225.203,1,1,0
Nico Hülkenberg,German,2010,13.0,10.0,1.0,52,5120212.0,225.639,1,1,0
Vitantonio Liuzzi,Italian,2010,20.0,11.0,0.0,52,5120659.0,225.569,1,1,0
Sébastien Buemi,Swiss,2010,16.0,12.0,0.0,52,5125827.0,228.087,1,1,0
Vitaly Petrov,Russian,2010,15.0,13.0,0.0,52,5137574.0,229.311,1,1,0
Fernando Alonso,Spanish,2010,3.0,14.0,0.0,52,5140585.0,233.373,1,1,0
Felipe Massa,Brazilian,2010,7.0,15.0,0.0,52,5145689.0,231.407,1,1,0
Jarno Trulli,Italian,2010,21.0,16.0,0.0,51,,219.724,11,0,0
Heikki Kovalainen,Finnish,2010,18.0,17.0,0.0,51,,220.336,11,0,0
Timo Glock,German,2010,19.0,18.0,0.0,50,,219.961,12,0,0
Karun Chandhok,Indian,2010,23.0,19.0,0.0,50,,214.656,12,0,0
Sakon Yamamoto,Japanese,2010,24.0,20.0,0.0,50,,215.723,12,0,0
Fernando Alonso,Spanish,2010,2.0,1.0,25.0,67,5258864.0,217.005,1,1,1
Felipe Massa,Brazilian,2010,3.0,2.0,18.0,67,5263060.0,216.386,1,1,1
Sebastian Vettel,German,2010,1.0,3.0,15.0,67,5263985.0,217.166,1,1,1
Lewis Hamilton,British,2010,6.0,4.0,12.0,67,5285760.0,215.238,1,1,0
Jenson Button,British,2010,5.0,5.0,10.0,67,5288346.0,215.385,1,1,0
Mark Webber,Australian,2010,4.0,6.0,8.0,67,5302470.0,214.747,1,1,0
Robert Kubica,Polish,2010,7.0,7.0,6.0,66,,213.389,11,0,0
Nico Rosberg,German,2010,9.0,8.0,4.0,66,,214.94,11,0,0
Michael Schumacher,German,2010,11.0,9.0,2.0,66,,213.605,11,0,0
Vitaly Petrov,Russian,2010,13.0,10.0,1.0,66,,213.3,11,0,0
Kamui Kobayashi,Japanese,2010,12.0,11.0,0.0,66,,213.571,11,0,0
Rubens Barrichello,Brazilian,2010,8.0,12.0,0.0,66,,213.768,11,0,0
Nico Hülkenberg,German,2010,10.0,13.0,0.0,66,,214.305,11,0,0
Pedro de la Rosa,Spanish,2010,14.0,14.0,0.0,66,,215.171,11,0,0
Jaime Alguersuari,Spanish,2010,15.0,15.0,0.0,66,,213.929,11,0,0
Vitantonio Liuzzi,Italian,2010,21.0,16.0,0.0,65,,214.977,12,0,0
Adrian Sutil,German,2010,19.0,17.0,0.0,65,,214.722,12,0,0
Timo Glock,German,2010,23.0,18.0,0.0,64,,210.538,13,0,0
Bruno Senna,Brazilian,2010,20.0,19.0,0.0,63,,203.638,14,0,0
Mark Webber,Australian,2010,2.0,1.0,25.0,70,6065571.0,190.821,1,1,1
Fernando Alonso,Spanish,2010,3.0,2.0,18.0,70,6083392.0,189.573,1,1,1
Sebastian Vettel,German,2010,1.0,3.0,15.0,70,6084823.0,191.491,1,1,1
Felipe Massa,Brazilian,2010,4.0,4.0,12.0,70,6093045.0,189.269,1,1,0
Vitaly Petrov,Russian,2010,7.0,5.0,10.0,70,6138763.0,188.207,1,1,0
Nico Hülkenberg,German,2010,10.0,6.0,8.0,70,6142294.0,187.302,1,1,0
Pedro de la Rosa,Spanish,2010,9.0,7.0,6.0,69,,186.995,11,0,0
Jenson Button,British,2010,11.0,8.0,4.0,69,,187.3,11,0,0
Kamui Kobayashi,Japanese,2010,23.0,9.0,2.0,69,,187.128,11,0,0
Rubens Barrichello,Brazilian,2010,12.0,10.0,1.0,69,,190.452,11,0,0
Michael Schumacher,German,2010,14.0,11.0,0.0,69,,184.739,11,0,0
Sébastien Buemi,Swiss,2010,15.0,12.0,0.0,69,,184.573,11,0,0
Vitantonio Liuzzi,Italian,2010,16.0,13.0,0.0,69,,184.77,11,0,0
Heikki Kovalainen,Finnish,2010,19.0,14.0,0.0,67,,180.335,13,0,0
Jarno Trulli,Italian,2010,20.0,15.0,0.0,67,,180.393,13,0,0
Timo Glock,German,2010,18.0,16.0,0.0,67,,179.889,13,0,0
Bruno Senna,Brazilian,2010,22.0,17.0,0.0,67,,179.033,13,0,0
Lucas di Grassi,Brazilian,2010,21.0,18.0,0.0,66,,180.686,14,0,0
Sakon Yamamoto,Japanese,2010,24.0,19.0,0.0,66,,176.657,14,0,0
Lewis Hamilton,British,2010,2.0,1.0,25.0,44,5344268.0,231.178,1,1,1
Mark Webber,Australian,2010,1.0,2.0,18.0,44,5345839.0,230.489,1,1,1
Robert Kubica,Polish,2010,3.0,3.0,15.0,44,5347761.0,229.624,1,1,1
Felipe Massa,Brazilian,2010,6.0,4.0,12.0,44,5352532.0,228.99,1,1,0
Adrian Sutil,German,2010,8.0,5.0,10.0,44,5353362.0,228.232,1,1,0
Nico Rosberg,German,2010,14.0,6.0,8.0,44,5356627.0,225.757,1,1,0
Michael Schumacher,German,2010,21.0,7.0,6.0,44,5359816.0,225.301,1,1,0
Kamui Kobayashi,Japanese,2010,17.0,8.0,4.0,44,5360946.0,225.634,1,1,0
Vitaly Petrov,Russian,2010,23.0,9.0,2.0,44,5368119.0,226.799,1,1,0
Vitantonio Liuzzi,Italian,2010,12.0,10.0,1.0,44,5379099.0,224.593,1,1,0
Pedro de la Rosa,Spanish,2010,24.0,11.0,0.0,44,5380287.0,224.054,1,1,0
Sébastien Buemi,Swiss,2010,16.0,12.0,0.0,44,5384163.0,223.203,1,1,0
Jaime Alguersuari,Spanish,2010,11.0,13.0,0.0,44,5393725.0,225.984,1,1,0
Nico Hülkenberg,German,2010,9.0,14.0,0.0,43,,225.402,11,0,0
Sebastian Vettel,German,2010,4.0,15.0,0.0,43,,227.427,11,0,0
Heikki Kovalainen,Finnish,2010,13.0,16.0,0.0,43,,217.746,11,0,0
Lucas di Grassi,Brazilian,2010,22.0,17.0,0.0,43,,217.919,11,0,0
Timo Glock,German,2010,20.0,18.0,0.0,43,,218.745,11,0,0
Jarno Trulli,Italian,2010,15.0,19.0,0.0,43,,219.059,11,0,0
Sakon Yamamoto,Japanese,2010,19.0,20.0,0.0,42,,218.336,12,0,0
Fernando Alonso,Spanish,2010,1.0,1.0,25.0,53,4584572.0,247.861,1,1,1
Jenson Button,British,2010,2.0,2.0,18.0,53,4587510.0,246.516,1,1,1
Felipe Massa,Brazilian,2010,3.0,3.0,15.0,53,4588795.0,246.583,1,1,1
Sebastian Vettel,German,2010,6.0,4.0,12.0,53,4612768.0,246.822,1,1,0
Nico Rosberg,German,2010,7.0,5.0,10.0,53,4614514.0,246.828,1,1,0
Mark Webber,Australian,2010,4.0,6.0,8.0,53,4615848.0,247.452,1,1,0
Nico Hülkenberg,German,2010,8.0,7.0,6.0,53,4617384.0,246.58,1,1,0
Robert Kubica,Polish,2010,9.0,8.0,4.0,53,4618600.0,246.627,1,1,0
Michael Schumacher,German,2010,12.0,9.0,2.0,53,4629520.0,245.503,1,1,0
Rubens Barrichello,Brazilian,2010,10.0,10.0,1.0,53,4648785.0,244.662,1,1,0
Sébastien Buemi,Swiss,2010,14.0,11.0,0.0,53,4649628.0,244.705,1,1,0
Vitantonio Liuzzi,Italian,2010,19.0,12.0,0.0,53,4650678.0,245.056,1,1,0
Vitaly Petrov,Russian,2010,20.0,13.0,0.0,53,4663491.0,246.382,1,1,0
Pedro de la Rosa,Spanish,2010,16.0,14.0,0.0,52,,241.584,11,0,0
Jaime Alguersuari,Spanish,2010,15.0,15.0,0.0,52,,243.995,11,0,0
Adrian Sutil,German,2010,11.0,16.0,0.0,52,,245.532,11,0,0
Timo Glock,German,2010,24.0,17.0,0.0,51,,237.62,12,0,0
Heikki Kovalainen,Finnish,2010,18.0,18.0,0.0,51,,237.466,12,0,0
Sakon Yamamoto,Japanese,2010,23.0,19.0,0.0,51,,234.653,12,0,0
Lucas di Grassi,Brazilian,2010,21.0,20.0,0.0,50,,236.526,13,0,0
Fernando Alonso,Spanish,2010,1.0,1.0,25.0,61,7073579.0,169.137,1,1,1
Sebastian Vettel,German,2010,2.0,2.0,18.0,61,7073872.0,168.879,1,1,1
Mark Webber,Australian,2010,5.0,3.0,15.0,61,7102720.0,166.47,1,1,1
Jenson Button,British,2010,4.0,4.0,12.0,61,7103963.0,166.462,1,1,0
Nico Rosberg,German,2010,7.0,5.0,10.0,61,7122973.0,165.837,1,1,0
Rubens Barrichello,Brazilian,2010,6.0,6.0,8.0,61,7129680.0,165.522,1,1,0
Robert Kubica,Polish,2010,8.0,7.0,6.0,61,7160138.0,167.157,1,1,0
Felipe Massa,Brazilian,2010,24.0,8.0,4.0,61,7186876.0,162.945,1,1,0
Adrian Sutil,German,2010,15.0,9.0,2.0,61,7195995.0,162.374,1,1,0
Nico Hülkenberg,German,2010,17.0,10.0,1.0,61,7206370.0,162.751,1,1,0
Vitaly Petrov,Russian,2010,12.0,11.0,0.0,60,,163.202,11,0,0
Jaime Alguersuari,Spanish,2010,11.0,12.0,0.0,60,,162.577,11,0,0
Michael Schumacher,German,2010,9.0,13.0,0.0,60,,166.509,11,0,0
Sébastien Buemi,Swiss,2010,13.0,14.0,0.0,60,,166.464,11,0,0
Lucas di Grassi,Brazilian,2010,20.0,15.0,0.0,59,,162.317,12,0,0
Heikki Kovalainen,Finnish,2010,19.0,16.0,0.0,58,,161.544,5,0,0
Sebastian Vettel,German,2010,1.0,1.0,25.0,53,5427323.0,223.219,1,1,1
Mark Webber,Australian,2010,2.0,2.0,18.0,53,5428228.0,223.647,1,1,1
Fernando Alonso,Spanish,2010,4.0,3.0,15.0,53,5430044.0,222.815,1,1,1
Jenson Button,British,2010,5.0,4.0,12.0,53,5440845.0,223.515,1,1,0
Lewis Hamilton,British,2010,8.0,5.0,10.0,53,5466918.0,219.633,1,1,0
Michael Schumacher,German,2010,10.0,6.0,8.0,53,5487256.0,220.395,1,1,0
Kamui Kobayashi,Japanese,2010,14.0,7.0,6.0,53,5491361.0,221.251,1,1,0
Nick Heidfeld,German,2010,11.0,8.0,4.0,53,5496971.0,218.854,1,1,0
Rubens Barrichello,Brazilian,2010,7.0,9.0,2.0,53,5498169.0,218.68,1,1,0
Sébastien Buemi,Swiss,2010,18.0,10.0,1.0,53,5500129.0,219.786,1,1,0
Jaime Alguersuari,Spanish,2010,16.0,11.0,0.0,52,,221.535,11,0,0
Heikki Kovalainen,Finnish,2010,20.0,12.0,0.0,52,,214.148,11,0,0
Jarno Trulli,Italian,2010,19.0,13.0,0.0,51,,209.66,12,0,0
Timo Glock,German,2010,22.0,14.0,0.0,51,,209.443,12,0,0
Bruno Senna,Brazilian,2010,23.0,15.0,0.0,51,,208.366,12,0,0
Sakon Yamamoto,Japanese,2010,24.0,16.0,0.0,50,,209.458,13,0,0
Fernando Alonso,Spanish,2010,3.0,1.0,25.0,55,10100810.0,183.335,1,1,1
Lewis Hamilton,British,2010,4.0,2.0,18.0,55,10115809.0,183.048,1,1,1
Felipe Massa,Brazilian,2010,6.0,3.0,15.0,55,10131678.0,182.928,1,1,1
Michael Schumacher,German,2010,9.0,4.0,12.0,55,10140498.0,180.748,1,1,0
Robert Kubica,Polish,2010,8.0,5.0,10.0,55,10148544.0,181.122,1,1,0
Vitantonio Liuzzi,Italian,2010,17.0,6.0,8.0,55,10154381.0,181.501,1,1,0
Rubens Barrichello,Brazilian,2010,10.0,7.0,6.0,55,10170067.0,181.187,1,1,0
Kamui Kobayashi,Japanese,2010,12.0,8.0,4.0,55,10178699.0,178.748,1,1,0
Nick Heidfeld,German,2010,13.0,9.0,2.0,55,10180917.0,178.469,1,1,0
Nico Hülkenberg,German,2010,11.0,10.0,1.0,55,10181661.0,180.511,1,1,0
Jaime Alguersuari,Spanish,2010,15.0,11.0,0.0,55,10184956.0,180.543,1,1,0
Jenson Button,British,2010,7.0,12.0,0.0,55,10190749.0,180.171,1,1,0
Heikki Kovalainen,Finnish,2010,21.0,13.0,0.0,54,,175.746,11,0,0
Bruno Senna,Brazilian,2010,24.0,14.0,0.0,53,,169.452,12,0,0
Sakon Yamamoto,Japanese,2010,23.0,15.0,0.0,53,,170.851,12,0,0
Sebastian Vettel,German,2010,2.0,1.0,25.0,71,5591803.0,208.828,1,1,1
Mark Webber,Australian,2010,3.0,2.0,18.0,71,5596046.0,209.493,1,1,1
Fernando Alonso,Spanish,2010,5.0,3.0,15.0,71,5598610.0,210.038,1,1,1
Lewis Hamilton,British,2010,4.0,4.0,12.0,71,5606437.0,210.049,1,1,0
Jenson Button,British,2010,11.0,5.0,10.0,71,5607396.0,209.819,1,1,0
Nico Rosberg,German,2010,13.0,6.0,8.0,71,5627123.0,209.107,1,1,0
